REDE;NR_LATITUDE_LOJA;NR_LONGITUDE_LOJA;ID_LOJA_LEGADO;TIPO_LOJA;FL_ANALISE_MADURAS
RAIA;-22,915170400000001;-43,616903999999998;10080;CONCORRENTES;0
RAIA;-22,876509299999999;-43,464960599999998;10081;CONCORRENTES;0
RAIA;-23,004927500000001;-43,321649800000003;10082;CONCORRENTES;0
RAIA;-22,999956099999999;-43,414684299999998;10083;CONCORRENTES;0
RAIA;-23,000293200000002;-43,347378499999998;10084;CONCORRENTES;0
RAIA;-23,0086127;-43,446400300000001;10085;CONCORRENTES;0
RAIA;-23,012373700000001;-43,456632800000008;10086;CONCORRENTES;0
RAIA;-23,013820200000001;-43,467025599999999;10087;CONCORRENTES;0
RAIA;-23,015763499999998;-43,469886600000002;10088;CONCORRENTES;0
RAIA;-23,001413899999999;-43,331050300000001;10089;CONCORRENTES;0
RAIA;-23,0181912;-43,479491299999999;10090;CONCORRENTES;0
RAIA;-23,000016500000001;-43,333940200000001;10091;CONCORRENTES;0
RAIA;-23,000071399999999;-43,334680900000002;10092;CONCORRENTES;0
RAIA;-22,997658300000001;-43,358126800000001;10093;CONCORRENTES;0
RAIA;-22,998776599999999;-43,360340800000003;10094;CONCORRENTES;0
RAIA;-23,000141899999999;-43,3844931;10095;CONCORRENTES;0
RAIA;-22,886506300000001;-43,2841953;10096;CONCORRENTES;0
RAIA;-22,972484900000001;-43,392462299999998;10097;CONCORRENTES;0
RAIA;-22,922224199999999;-43,360753699999997;10098;CONCORRENTES;0
RAIA;-22,9572295;-43,176626400000004;10099;CONCORRENTES;0
RAIA;-23,009736100000001;-43,3506803;10100;CONCORRENTES;0
RAIA;-22,9219385;-43,235373299999999;10101;CONCORRENTES;0
RAIA;-22,9217671;-43,3704307;10102;CONCORRENTES;0
RAIA;-22,967517600000001;-43,182328700000006;10103;CONCORRENTES;0
RAIA;-22,971664100000002;-43,1877122;10104;CONCORRENTES;0
RAIA;-22,963968099999999;-43,174075999999999;10105;CONCORRENTES;0
RAIA;-22,975662499999999;-43,189679299999987;10106;CONCORRENTES;0
RAIA;-23,0150319;-43,305759899999998;10107;CONCORRENTES;0
RAIA;-22,877804600000001;-43,271486799999998;10108;CONCORRENTES;0
RAIA;-22,911608399999999;-43,175005499999997;10109;CONCORRENTES;0
RAIA;-22,9568701;-43,350814399999997;10110;CONCORRENTES;0
RAIA;-23,009171599999998;-43,306555099999997;10111;CONCORRENTES;0
