REDE,NR_LATITUDE_LOJA,NR_LONGITUDE_LOJA,ID_LOJA_LEGADO,TIPO_LOJA,FL_ANALISE_MADURAS,Qtd_Lojas_Venancio,Qtd_Lojas_Concorrentes,Qtd_Total_Lojas_Proximas
RAIA,-22.9037148,-43.5568083,10137,CONCORRENTES,0,0,0,0
RAIA,-22.9693504,-43.1865227,10138,CONCORRENTES,0,0,0,0
RAIA,-22.8794356,-43.4625803,10139,CONCORRENTES,0,0,0,0
RAIA,-22.9254587,-43.2328241,10140,CONCORRENTES,0,0,0,0
RAIA,-22.9634441,-43.1718782,10141,CONCORRENTES,0,0,0,0
RAIA,-22.9209249,-43.2187817,10142,CONCORRENTES,0,0,0,0
RAIA,-22.9648274,-43.2175884,10143,CONCORRENTES,0,0,0,0
RAIA,-22.8878701,-43.2845154,10144,CONCORRENTES,0,0,0,0
RAIA,-22.8870269,-43.3642908,10145,CONCORRENTES,0,0,0,0
RAIA,-22.93807,-43.1774973,10146,CONCORRENTES,0,0,0,0
RAIA,-22.9749779,-43.2276062,10147,CONCORRENTES,0,0,0,0
RAIA,-22.9206978,-43.2447799,10148,CONCORRENTES,0,0,0,0
RAIA,-22.9633973,-43.175946,10149,CONCORRENTES,0,0,0,0
RAIA,-22.9489199,-43.1839859,10150,CONCORRENTES,0,0,0,0
RAIA,-22.9559295,-43.1922574,10151,CONCORRENTES,0,0,0,0
RAIA,-22.8060016,-43.2094187,10152,CONCORRENTES,0,0,0,0
RAIA,-22.9149302,-43.1868086,10153,CONCORRENTES,0,0,0,0
RAIA,-22.9228147,-43.232193,10154,CONCORRENTES,0,0,0,0
RAIA,-22.9352325,-43.1748623,10155,CONCORRENTES,0,0,0,0
RAIA,-22.9000713,-43.2812036,10156,CONCORRENTES,0,0,0,0
RAIA,-22.9809731,-43.1908519,10157,CONCORRENTES,0,0,0,0
RAIA,-22.8083092,-43.1834453,10158,CONCORRENTES,0,0,0,0
RAIA,-22.9404725,-43.3384615,10159,CONCORRENTES,0,0,0,0
RAIA,-22.9841993,-43.2011087,10160,CONCORRENTES,0,0,0,0
RAIA,-22.9845511,-43.1953342,10161,CONCORRENTES,0,0,0,0
RAIA,-22.9834986,-43.2126032,10162,CONCORRENTES,0,0,0,0
RAIA,-22.9563504,-43.1976225,10163,CONCORRENTES,0,0,0,0
RAIA,-22.953431,-43.1904002,10164,CONCORRENTES,0,0,0,0
RAIA,-22.8243129,-43.0072127,10165,CONCORRENTES,0,0,0,0
RAIA,-22.8240722,-43.0203411,10166,CONCORRENTES,0,0,0,0
RAIA,-22.8217948,-43.0414273,10167,CONCORRENTES,0,0,0,0
RAIA,-22.7751117,-43.3806841,10168,CONCORRENTES,0,0,0,0
RAIA,-22.8033594,-43.3676042,10169,CONCORRENTES,0,0,0,0
RAIA,-22.8067077,-42.1408576,10170,CONCORRENTES,0,0,0,0
RAIA,-22.895515,-42.4714229,10171,CONCORRENTES,0,0,0,0
RAIA,-22.4112455,-42.9655612,10172,CONCORRENTES,0,0,0,0
RAIA,-22.4161,-42.9722532,10173,CONCORRENTES,0,0,0,0
RAIA,-22.4216128,-42.9766772,10174,CONCORRENTES,0,0,0,0
RAIA,-22.4371376,-42.9788431,10175,CONCORRENTES,0,0,0,0
RAIA,-22.1155482,-43.2074502,10176,CONCORRENTES,0,0,0,0
RAIA,-22.2402412,-43.6944438,10177,CONCORRENTES,0,0,0,0
RAIA,-22.5129095,-44.0923371,10178,CONCORRENTES,0,0,0,0
RAIA,-22.504012,-44.0918624,10179,CONCORRENTES,0,0,0,0
RAIA,-22.4996453,-44.1088991,10180,CONCORRENTES,0,0,0,0
RAIA,-22.5113069,-44.084255,10181,CONCORRENTES,0,0,0,0
RAIA,-22.5195368,-44.1039448,10182,CONCORRENTES,0,0,0,0
RAIA,-21.7804,-41.3254,10183,CONCORRENTES,0,0,0,0
RAIA,-22.723,-43.5601,10184,CONCORRENTES,0,0,0,0
RAIA,-22.9223,-43.2385,10185,CONCORRENTES,0,0,0,0
PACHECO,-22.7741,-43.3987,10186,CONCORRENTES,0,0,0,0
PACHECO,-23.0003241,-44.3006062,10187,CONCORRENTES,0,0,0,0
PACHECO,-23.0031218,-44.2996996,10188,CONCORRENTES,0,0,0,0
PACHECO,-23.0084824,-44.3183281,10189,CONCORRENTES,0,0,0,0
PACHECO,-22.8726707,-42.3357949,10190,CONCORRENTES,0,0,0,0
PACHECO,-22.8670877,-42.333548,10191,CONCORRENTES,0,0,0,0
PACHECO,-22.8760335,-42.3397369,10192,CONCORRENTES,0,0,0,0
PACHECO,-22.7447166,-41.9677776,10193,CONCORRENTES,0,0,0,0
PACHECO,-22.4692811,-43.8260739,10194,CONCORRENTES,0,0,0,0
PACHECO,-22.5447671,-44.1714519,10195,CONCORRENTES,0,0,0,0
PACHECO,-22.540616,-44.169268,10196,CONCORRENTES,0,0,0,0
PACHECO,-22.7117422,-43.3209851,10197,CONCORRENTES,0,0,0,0
PACHECO,-22.7727042,-43.3969623,10198,CONCORRENTES,0,0,0,0
PACHECO,-22.7147776,-43.3261299,10199,CONCORRENTES,0,0,0,0
PACHECO,-22.7642716,-43.4005216,10200,CONCORRENTES,0,0,0,0
PACHECO,-22.7540844,-43.4844478,10201,CONCORRENTES,0,0,0,0
PACHECO,-22.878334,-42.016973,10202,CONCORRENTES,0,0,0,0
PACHECO,-22.8796911,-42.0187457,10203,CONCORRENTES,0,0,0,0
PACHECO,-22.8465897,-42.0299192,10204,CONCORRENTES,0,0,0,0
PACHECO,-22.8804547,-42.0203863,10205,CONCORRENTES,0,0,0,0
PACHECO,-22.6384971,-42.0111139,10206,CONCORRENTES,0,0,0,0
PACHECO,-21.750952,-41.336651,10207,CONCORRENTES,0,0,0,0
PACHECO,-21.7595806,-41.3339939,10208,CONCORRENTES,0,0,0,0
PACHECO,-21.8307564,-41.2734171,10209,CONCORRENTES,0,0,0,0
PACHECO,-21.7483064,-41.3226963,10210,CONCORRENTES,0,0,0,0
PACHECO,-21.7379771,-41.3140219,10211,CONCORRENTES,0,0,0,0
PACHECO,-21.7579625,-41.3230232,10212,CONCORRENTES,0,0,0,0
PACHECO,-21.756013,-41.3230549,10213,CONCORRENTES,0,0,0,0
PACHECO,-21.7608588,-41.3299969,10214,CONCORRENTES,0,0,0,0
PACHECO,-21.7635853,-41.311241,10215,CONCORRENTES,0,0,0,0
