rede;logradouro;bairro;latitude;longitude;data_primeira_venda;nm_Loja
VENANCIO;AVENIDA EMBAIXADOR ABELARDO BUENO, 3050 LOJA 103;RIO 2;-22,9724745;-43,3935906;01/01/1900;V49 - VENANCIO
VENANCIO;AVENIDA NILO PECANHA, 252 ;CENTRO-DUQUE DE CAXIAS;-22,78663;-43,31343;01/01/1900;V50 - VENANCIO
VENANCIO;RUA DO ROSARIO, 131 ;CENTRO-RJ;-22,9033574;-43,1788367;01/01/1900;V51 - VENANCIO
VENANCIO;RUA DO CATETE, 124 126;CATETE;-22,9251229;-43,1767806;01/01/1900;V52 - VENANCIO
VENANCIO;AVENIDA NILO PECANHA, 213 217;CENTRO-NOVA IGUACU;-22,758745;-43,448805;01/01/1900;V54 - VENANCIO
VENANCIO;RUA GENERAL PEREIRA DA SILVA, 157 ;ICARAÍ;-22,9024978;-43,1112204;01/01/1900;V56 - VENANCIO
VENANCIO;AV ATAULFO DE PAIVA, 80 LOJ B SSL;LEBLON;-22,9834857;-43,2171536;01/01/1900;V57 - VENANCIO
VENANCIO;AV RIO BRANCO, 124 LOJ  RUA SETE DE SE TEMBRO 82 LOJ;CENTRO-RJ;-22,9049015;-43,1779667;01/01/1900;V59 - VENANCIO
VENANCIO;RUA DOUTOR THIBAU, 47 ;CENTRO-NOVA IGUACU;-22,7600531;-43,4533621;01/01/1900;V60 - VENANCIO
VENANCIO;RUA MARQUES DE SAO VICENTE, 52 LOJ 128 LOJ H;GÁVEA;-22,9755543;-43,2284309;01/01/1900;V61 - VENANCIO
VENANCIO;AVENIDA NOSSA SENHORA DE COPACABANA, 528 LOJ E 8;COPACABANA;-22,9684965;-43,183938;01/01/1900;V62 - VENANCIO
VENANCIO;RUA JARDIM BOTANICO, 726 LOJ A LOJ B;JARDIM BOTANICO;-22,965564;-43,2190731;01/01/1900;V63 - VENANCIO
VENANCIO;RUA GAVIAO PEIXOTO, 183 LJ 101 LJ 102;ICARAÍ;-22,9040214;-43,1094717;01/01/1900;V64 - VENANCIO
VENANCIO;RUA SIQUEIRA CAMPOS, 107;COPACABANA;-22,9676365;-43,1858746;01/01/1900;V65 - VENANCIO
VENANCIO;AVENIDA RIO BRANCO, 277 LOJAS A G H;CENTRO-RJ;-22,9118962;-43,1747872;01/01/1900;V67 - VENANCIO
VENANCIO;RUA BARATA RIBEIRO, 194 LJ B LJ A;COPACABANA;-22,9643942;-43,1796122;01/01/1900;V68 - VENANCIO
VENANCIO;RUA VISCONDE DE PIRAJA, 414 LJ H;IPANEMA;-22,9837654;-43,2073899;01/01/1900;V69 - VENANCIO
VENANCIO;AVENIDA AYRTON SENNA, 2541 BL A LJS 08 A 12 E BL A3 LJ 21;BARRA DA TIJUCA;-22,98471826;-43,36686194;01/01/1900;V71 - VENANCIO
VENANCIO;AVENIDA MARACANA, 834;MARACANÃ;-22,92081;-43,235595;01/01/1900;V72 - VENANCIO
VENANCIO;ESTRADA UNIAO E INDUSTRIA, 10290;ITAIPAVA;-22,3997431;-43,1340956;01/01/1900;V73 - VENANCIO
VENANCIO;RUA AUGUSTO DE VASCONCELOS, 96 LJ;CAMPO GRANDE;-22,9030309;-43,5606704;01/01/1900;V74 - VENANCIO
VENANCIO;AVENIDA EMBAIXADOR ABELARDO BUENO, 800;JACAREPAGUA;-22,9726226;-43,3687114;01/01/1900;V75 - VENANCIO
VENANCIO;AVENIDA DAS AMERICAS, 10495;BARRA DA TIJUCA;-23,0009191;-43,4149257;01/01/1900;V76 - VENANCIO
VENANCIO;RUA MARQUES DE ABRANTES, 88  BLC A LOJ A;FLAMENGO;-22,9361596;-43,1774953;01/01/1900;V78 - VENANCIO
VENANCIO;ESTRADA DA CACUIA,203 LOJ A E JIRAU;ILHA DO GOVERNADOR;-22,8108014;-43,1901868;01/01/1900;V79 - VENANCIO
VENANCIO;PR BOTAFOGO, 316 LOJ F;BOTAFOGO;-22,944861;-43,1826988;01/01/1900;V80 - VENANCIO
VENANCIO;RUA JARDIM BOTANICO, 657 LOJA D;JARDIM BOTANICO;-22,9646849;-43,2177658;01/01/1900;V81 - VENANCIO
VENANCIO;AVENIDA DAS AMERICAS, 7777 LOJ 129/130 E 169;BARRA DA TIJUCA;-23,0011919;-43,3860914;01/01/1900;V82 - VENANCIO
VENANCIO;RUA JOAQUIM PINHEIRO, 16;FREGUESIA;-22,9344035;-43,3357124;01/01/1900;V84 - VENANCIO
VENANCIO;AVENIDA GILKA MACHADO, 1540 LOJA A;RECREIO;-23,0178515;-43,478979;01/01/1900;V85 - VENANCIO
VENANCIO;RUA REPÚBLICA ARÁBE SIRIA, 15 LOJ A B LOJ;ILHA DO GOVERNADOR;-22,8051332;-43,202138;01/01/1900;V86 - VENANCIO
VENANCIO;AVENIDA BRIGADEIRO LIMA E SILVA, 1963 QUADRA 237 LOTE 34;JARDIM VINTE E CINCO DE AGOSTO;-22,7905667;-43,3061077;01/01/1900;V87 - VENANCIO
VENANCIO;AV PRESIDENTE DUTRA, 13006  LOJA C;PRATA;-22,7614595;-43,4218595;01/01/1900;V88 - VENANCIO
VENANCIO;AVENIDA DAS AMERICAS, 15107 ;RECREIO;-23,013412;-43,460461;01/01/1900;V89 - VENANCIO
VENANCIO;AVENDIA DOUTOR MARIO GUIMARÃES, 397;CENTRO-NOVA IGUACU;-22,759447;-43,4558047;01/01/1900;V90 - VENANCIO
VENANCIO;AVENIDA DAS AMERICAS, 3757 LOJA;BARRA DA TIJUCA;-23,0003905;-43,3510019;01/01/1900;V91 - VENANCIO
VENANCIO;ESTRADA  FRANCISCO DA CRUZ NUNES, 249 LOJA PARTE 3;ITAIPU;-22,936144;-43,062179;01/01/1900;V92 - VENANCIO
VENANCIO;LARGO DO MACHADO, 11 LOJ C D E F G H I;LARGO DO MACHADO;-22,931084;-43,1782383;01/01/1900;V93 - VENANCIO
VENANCIO;RUA DO IMPERADOR, 299 ,295,1,3,4,5,6,7,9,10,11,12,12A FUNDOS;CENTRO-PETROPOLIS;-22,5088204;-43,172989;01/01/1900;V94 - VENANCIO
VENANCIO;AVENIDA NILO PECANHA, 73 ;CENTRO-NOVA IGUACU;-22,759751;-43,4498199;01/01/1900;V515 - VENANCIO
VENANCIO;BOULEVARD VINTE E OITO DE SETEMBRO, 304 ;VILA ISABEL;-22,9156089;-43,2462377;01/01/1900;V555 - VENANCIO
